experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,XGBoost,nocorr,0.2,0.2,1.0,1.0,2759,737,15263,1241,0.68975,0.0460625,0.9539375,0.31025,0.789187643020595,0.68975,0.7361259338313767,0.9011,0.0989,0.9399651484375,0.8328594649502205,0.07160516083240509,0.2364687115723628,0.0,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.2,1.0,1.0,2759,737,15263,1241,0.68975,0.0460625,0.9539375,0.31025,0.789187643020595,0.68975,0.7361259338313767,0.9011,0.0989,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,0.0,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.2,1.0,1.0,2707,688,15312,1293,0.67675,0.043,0.957,0.32325000000000004,0.7973490427098675,0.67675,0.7321162947937796,0.90095,0.09905,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,0.09112054109573364,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.2,10.0,1.0,1224,51,15949,2776,0.306,0.0031875,0.9968125,0.694,0.96,0.306,0.46407582938388625,0.85865,0.1643,0.9399651484375,0.8328594649502205,0.07160516083240509,0.2364687115723628,2.302585092994046,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.2,10.0,1.0,1224,51,15949,2776,0.306,0.0031875,0.9968125,0.694,0.96,0.306,0.46407582938388625,0.85865,0.1643,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,2.302585092994046,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.2,10.0,1.0,1314,69,15931,2686,0.3285,0.0043125,0.9956875,0.6715,0.9501084598698482,0.3285,0.48820360393832435,0.86225,0.1688,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,2.1770846843719482,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.2,1.0,10.0,3718,3803,12197,282,0.9295,0.2376875,0.7623125,0.07050000000000001,0.4943491556973807,0.9295,0.6454300841940803,0.79575,0.33115,0.9399651484375,0.8328594649502205,0.07160516083240509,0.2364687115723628,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.2,1.0,10.0,3718,3803,12197,282,0.9295,0.2376875,0.7623125,0.07050000000000001,0.4943491556973807,0.9295,0.6454300841940803,0.79575,0.33115,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.2,1.0,10.0,3718,3809,12191,282,0.9295,0.2380625,0.7619375,0.07050000000000001,0.4939550949913644,0.9295,0.6450941268326538,0.79545,0.33145,0.9399651484375,0.8328594649502205,0.07160516277840343,0.23646871154474156,-2.3056118488311768,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.1,1.0,1.0,1393,809,17191,607,0.6965,0.04494444444444445,0.9550555555555555,0.3035,0.6326067211625794,0.6965,0.6630176106615897,0.9292,0.0708,0.9427366111111111,0.7387986337866612,0.05267186212404124,0.17927477109997927,0.0,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.1,1.0,1.0,1119,345,17655,881,0.5595,0.019166666666666665,0.9808333333333333,0.4405,0.764344262295082,0.5595,0.6460739030023095,0.9387,0.0613,0.9427366111111111,0.7387986337866612,0.04630683058550797,0.15947392085075401,0.0,,offset_corrected
